City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
570,Olinda,BR,-8.0089,-34.8553,73.13,94,75,8.14,broken clouds
571,Santa Lucia,ES,27.9117,-15.5407,60.76,83,75,14.74,broken clouds
572,Big Rapids,US,43.6981,-85.4837,67.64,30,1,9.22,clear sky
573,Kingisepp,RU,59.3733,28.6134,39.02,67,6,3.24,clear sky
574,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,83,90,15.86,overcast clouds
575,Voh,NC,-20.9667,164.7,71.08,56,96,9.26,overcast clouds
576,Eston,CA,51.1501,-108.7514,73.53,26,6,7.25,clear sky
577,Taksimo,RU,56.3444,114.8794,40.51,74,97,3.27,overcast clouds
578,Jumla,NP,29.2747,82.1838,56.32,84,63,1.54,broken clouds
579,Sobolevo,RU,54.4299,31.8996,40.84,70,89,8.63,overcast clouds
580,Slupsk,PL,54.4641,17.0287,42.48,83,11,2.93,few clouds
581,Tarko-Sale,RU,64.9225,77.785,42.01,92,100,7.74,overcast clouds
582,Nongstoin,IN,25.5167,91.2667,63.86,93,30,3.56,scattered clouds
583,Beziers,FR,43.3476,3.219,63.81,88,0,3.94,clear sky
584,Port Shepstone,ZA,-30.7414,30.455,60.53,70,51,3.78,light rain
585,Marzuq,YE,14.4,46.4667,78.28,40,0,3.96,clear sky
586,Wahiawa,US,21.5028,-158.0236,79.79,63,80,6.15,broken clouds
587,Khipro,PK,25.8285,69.3772,85.55,61,0,19.89,clear sky
588,Kailua,US,21.4022,-157.7394,85.41,54,40,8.05,scattered clouds
589,Sembe,CG,1.6481,14.5806,73.27,90,97,0.83,overcast clouds
590,Kenai,US,60.5544,-151.2583,62.02,53,90,12.66,overcast clouds
591,Devils Lake,US,48.1128,-98.8651,71.58,22,20,18.99,few clouds
592,Saint-Francois,FR,46.4154,3.9054,51.24,80,0,3.44,clear sky
593,Key Largo,US,25.0865,-80.4473,82.99,61,26,7.4,scattered clouds
594,Balikpapan,ID,-1.2675,116.8289,77.76,88,67,6.53,broken clouds
595,Shingu,JP,33.7333,135.9833,70.79,59,0,4.83,clear sky
596,Mackenzie,CA,55.2999,-123.1698,51.85,82,100,4.41,overcast clouds
597,Tomatlan,MX,19.9333,-105.25,88.66,34,52,9.55,broken clouds
598,Ulaangom,MN,49.9811,92.0667,47.28,47,25,4.25,scattered clouds
599,Yuci,CN,37.6803,112.7319,60.55,67,40,5.12,light rain
600,Malanje,AO,-9.5402,16.341,61.81,50,34,2.17,scattered clouds
601,Rawson,AR,-43.3002,-65.1023,52.09,71,90,18.14,overcast clouds
602,Sorland,NO,67.667,12.6934,46.47,93,100,11.77,overcast clouds
603,Basoko,CD,1.2391,23.616,76.82,80,89,2.62,overcast clouds
604,Oneida,US,43.2001,-75.4663,53.53,87,90,1.01,light rain
605,Abu Samrah,SY,35.3029,37.1841,68.94,44,0,5.79,clear sky
606,Sibu,MY,2.3,111.8167,74.21,91,79,1.14,broken clouds
607,Olafsvik,IS,64.8945,-23.7142,43.3,78,91,13.27,overcast clouds
608,Marquette,US,46.5333,-87.6335,56.64,80,100,5.55,overcast clouds
609,Okha,RU,53.5739,142.9478,39.58,71,78,8.66,broken clouds
610,Hovd,MN,48.0056,91.6419,47.71,36,16,1.52,few clouds
611,Weligama,LK,5.9667,80.4167,79.95,86,99,15.37,overcast clouds
612,Troitsko-Pechorsk,RU,62.7084,56.1964,33.42,76,10,5.86,clear sky
613,Chokwe,MZ,-24.5333,32.9833,63.43,82,4,7.09,clear sky
614,Abrau-Dyurso,RU,44.69,37.59,61.48,95,25,6.73,scattered clouds
615,Yebaishou,CN,41.3975,119.6408,60.84,45,75,6.06,broken clouds
616,Grants,US,35.1473,-107.8514,82.63,5,1,5.75,clear sky
617,Troitskoye,RU,52.9821,84.6757,51.6,70,15,4.18,few clouds
618,Rabo De Peixe,PT,37.8,-25.5833,60.31,77,20,8.66,few clouds
619,Rio Gallegos,AR,-51.6226,-69.2181,33.85,69,0,8.05,clear sky
620,Whitianga,NZ,-36.8333,175.7,53.02,84,98,8.08,light rain
621,Launceston,AU,-41.45,147.1667,39.15,93,90,1.92,overcast clouds
622,Nouadhibou,MR,20.931,-17.0347,66.09,88,9,19.42,clear sky
623,Wanning,CN,18.8003,110.3967,82.63,81,98,10.27,overcast clouds
624,North Myrtle Beach,US,33.816,-78.68,66.34,82,90,6.91,overcast clouds
625,Anadyr,RU,64.75,177.4833,57.7,41,0,6.73,clear sky
626,Sabang,ID,5.8933,95.3214,83.39,71,98,19.93,overcast clouds
627,Kurilsk,RU,45.2333,147.8833,37.87,97,99,18.01,overcast clouds
628,Touros,BR,-5.1989,-35.4608,77.9,86,63,9.69,broken clouds
629,Outram,MY,1.2829,103.8379,82.33,90,90,6.98,overcast clouds
630,Ponta Delgada,PT,37.7333,-25.6667,61.52,77,20,4.61,few clouds
631,Leeton,AU,-34.5667,146.4,47.79,53,0,5.12,clear sky
632,Pindushi,RU,62.9152,34.58,38.89,75,77,5.99,broken clouds
633,Eirunepe,BR,-6.6603,-69.8736,74.03,96,81,3.38,broken clouds
634,Bonavista,CA,48.6499,-53.1147,45.03,66,5,5.73,clear sky
635,Carmelo,UY,-33.9892,-58.2856,50.13,63,2,6.08,clear sky
636,Pyinmana,MM,19.7333,96.2167,75.81,95,100,4.76,overcast clouds
637,Kota Tinggi,MY,1.7381,103.8999,82.44,95,83,1.05,broken clouds
638,Pokaran,IN,26.9167,71.9167,86.09,61,52,19.33,broken clouds
639,Manching,DE,48.7166,11.4939,50.02,57,5,4.61,clear sky
640,Port Lincoln,AU,-34.7333,135.8667,55.87,39,100,14.63,overcast clouds
641,Youhao,CN,47.8667,128.8333,57.33,77,60,2.17,broken clouds
642,Ngunguru,NZ,-35.6167,174.5,60.17,80,68,13.49,light rain
